"Dia","m05","m10","m15","h01","h04","h24","h96","Estacao","estacao_id"
2009-02-16 04:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 04:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 04:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 03:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 03:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 03:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 03:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 02:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 02:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 02:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 02:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 01:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 01:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 01:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 01:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 00:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 00:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 00:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-16 00:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-15 23:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-15 23:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-15 23:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.0,Jacarepaguá/Tanque,14
2009-02-15 23:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.2,Jacarepaguá/Tanque,14
2009-02-15 22:57:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.2,Jacarepaguá/Tanque,14
2009-02-15 22:42:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.4,Jacarepaguá/Tanque,14
2009-02-15 22:27:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.4,Jacarepaguá/Tanque,14
2009-02-15 22:12:20.000 -0300,-99.99,-99.99,0.0,0.0,0.0,0.0,59.4,Jacarepaguá/Tanque,14
